section,subsection,highlight,notion,historical,set-theory,category_notion,in_category,logic,Lean,Sage,Hyperpolyglot,Haskell,Python,other1,other2
,,,,,class,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,Empty_set,,,initial+object,Category_of_sets,,,,,,,,
,,,,,,,,,,,,,,,
,,,set equality,,Axiom of extensionality - Wikipedia,equality in nLab,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,Union (set theory) - Wikipedia,,,log. or,,,,,,,
,,,,,,https://ncatlab.org/nlab/show/union,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,Intersection (set theory) - Wikipedia,,,log. and,,,,,,,
,,,,,,https://ncatlab.org/nlab/show/intersection,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,Complement (set theory) - Wikipedia,https://ncatlab.org/nlab/show/complement,,log. not,,,,,,,
,,,,,,,,,,,,,,,
,,,Cardinality - Wikipedia,,,https://ncatlab.org/nlab/show/cardinal+number,,,,,,,,,
,,,,,,,,,,,,,,,
,,,Power set - Wikipedia,,,https://ncatlab.org/nlab/show/power+set,,,,,,,,,
,,,,,,,,,set t,,,,,,
,,,,,,,,,set.boolean_algebra,,,,,,
,,,set equivalence,,,https://ncatlab.org/nlab/show/isomorphism#examples,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
Sets,finite,,,,,,,,,,,,,,
,,,finite set,,Finite_set,,,,,,,,,,
,,,finite subset,,,object,FinSet,,,,computer-algebra#sets,,,,
,,,finite subset type,,,,,,https://leanprover-community.github.io/mathlib_docs/data/finset/basic.html,,,,,,
,,,,,,,,,fintype t,,,,,,
,,,,,,,,,fin n,,,,,,
,,,,,Hereditarily finite set - Wikipedia,https://ncatlab.org/nlab/show/hereditarily+finite+set,,,"lists, finsets",,,,,,
,,,,,,,,,finset t,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,List_(abstract_data_type),,~~  Tuple,~~ tuple,,,list t,,"list, array",[t],,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,formal,,formal set,,Set theory - Wikipedia,set,,,https://leanprover-community.github.io/mathlib_docs/set_theory/zfc.html,,,,,,
,,,,,,object,Category_of_sets,,,,,,,,
,,,,,,,,,zfc.Set,,,,,,
,,,,,,https://ncatlab.org/nlab/show/set+theory,,,,,,,,,
,,,// https://ncatlab.org/nlab/show/structural+set+theory,,,,,,,,,,,,
,,,,,https://ncatlab.org/nlab/show/material+set+theory,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,Axiom of choice - Wikipedia,,,,https://leanprover.github.io/theorem_proving_in_lean/axioms_and_computation.html#choice,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
logic2,,,,,,,,,,,,,,,
logic,propositional (classical),,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,4. Propositional Logic in Lean — Logic and Proof 3.18.4 documentation,,,,,,
,,,https://en.wikipedia.org/wiki/Valuation_(logic),,,,,,,,,,,,
,,,https://en.wikipedia.org/wiki/Lindenbaum%E2%80%93Tarski_algebra,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,https://en.wikipedia.org/wiki/Well-formed_formula,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
logic,predicate ,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,https://en.wikipedia.org/wiki/Non-standard_model,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
logic,constructive ,,,,,,,,,,,,,,
,,,,,,,,,core / init.logic - mathlib docs,,,,,,
,,,,,https://en.wikipedia.org/wiki/Heyting_algebra,,,,,,,,,,
,,,,,https://en.wikipedia.org/wiki/Intuitionistic_logic#Heyting_algebra_semantics,,,,,,,,,,
